year,gender,crime_id,AgeGroup,Count
2014,female,1,45-54 years,17
2015,female,1,45-54 years,20
2016,female,1,45-54 years,21
2017,female,1,45-54 years,17
2018,female,1,45-54 years,10
2019,female,1,45-54 years,10
2020,female,1,45-54 years,16
2021,female,1,45-54 years,19
2010,male,10,45-54 years,68
2011,male,10,45-54 years,48
2012,male,10,45-54 years,38
2013,male,10,45-54 years,59
2014,male,10,45-54 years,60
2015,male,10,45-54 years,56
2016,male,10,45-54 years,48
2017,male,10,45-54 years,52
2018,male,10,45-54 years,71
2019,male,10,45-54 years,64
2020,male,10,45-54 years,47
2021,male,10,45-54 years,52
2010,female,10,45-54 years,28
2011,female,10,45-54 years,15
2012,female,10,45-54 years,21
2013,female,10,45-54 years,13
2014,female,10,45-54 years,22
2015,female,10,45-54 years,13
2016,female,10,45-54 years,33
2017,female,10,45-54 years,32
2018,female,10,45-54 years,21
2019,female,10,45-54 years,20
2020,female,10,45-54 years,11
2021,female,10,45-54 years,23
2010,male,1,55 and over,41
2011,male,1,55 and over,61
2012,male,1,55 and over,47
2013,male,1,55 and over,37
2014,male,1,55 and over,42
2015,male,1,55 and over,33
2016,male,1,55 and over,53
2017,male,1,55 and over,38
2018,male,1,55 and over,55
2019,male,1,55 and over,53
2020,male,1,55 and over,39
2021,male,1,55 and over,42
2010,female,1,55 and over,35
2011,female,1,55 and over,29
2012,female,1,55 and over,30
2013,female,1,55 and over,25
2014,female,1,55 and over,30
2015,female,1,55 and over,24
2016,female,1,55 and over,41
2017,female,1,55 and over,29
2018,female,1,55 and over,45
2019,female,1,55 and over,27
2020,female,1,55 and over,33
2021,female,1,55 and over,12
2010,male,10,55 and over,46
2011,male,10,55 and over,45
2012,male,10,55 and over,42
2013,male,10,55 and over,57
2014,male,10,55 and over,39
2015,male,10,55 and over,40
2016,male,10,55 and over,49
2017,male,10,55 and over,46
2018,male,10,55 and over,61
2019,male,10,55 and over,57
2020,male,10,55 and over,39
2021,male,10,55 and over,61
2010,female,10,55 and over,17
2011,female,10,55 and over,11
2012,female,10,55 and over,11
2013,female,10,55 and over,18
2014,female,10,55 and over,13
2015,female,10,55 and over,18
2016,female,10,55 and over,20
2017,female,10,55 and over,14
2018,female,10,55 and over,29
2019,female,10,55 and over,20
2020,female,10,55 and over,20
2021,female,10,55 and over,19
2010,male,5,Under 18 years,1989
2011,male,5,Under 18 years,1915
2012,male,5,Under 18 years,2173
2013,male,5,Under 18 years,2187
2014,male,5,Under 18 years,2226
2015,male,5,Under 18 years,2277
2016,male,5,Under 18 years,2373
2017,male,5,Under 18 years,2392
2018,male,5,Under 18 years,2253
2019,male,5,Under 18 years,2532
2020,male,5,Under 18 years,2394
2021,male,5,Under 18 years,2325
2010,female,5,Under 18 years,8772
2011,female,5,Under 18 years,8428
2012,female,5,Under 18 years,8693
2013,female,5,Under 18 years,8791
2014,female,5,Under 18 years,9067
2015,female,5,Under 18 years,9198
2016,female,5,Under 18 years,9262
2017,female,5,Under 18 years,10394
2018,female,5,Under 18 years,10705
2019,female,5,Under 18 years,10558
2020,female,5,Under 18 years,11497
2021,female,5,Under 18 years,12878
2010,male,7,Under 18 years,1946
2011,male,7,Under 18 years,1645
2012,male,7,Under 18 years,1359
2013,male,7,Under 18 years,1173
2014,male,7,Under 18 years,1059
2015,male,7,Under 18 years,891
2016,male,7,Under 18 years,979
2017,male,7,Under 18 years,1284
2018,male,7,Under 18 years,1493
2019,male,7,Under 18 years,1967
2020,male,7,Under 18 years,1702
2021,male,7,Under 18 years,1841
2010,female,7,Under 18 years,404
2011,female,7,Under 18 years,367
2012,female,7,Under 18 years,321
2013,female,7,Under 18 years,273
2014,female,7,Under 18 years,260
2015,female,7,Under 18 years,191
2016,female,7,Under 18 years,212
2017,female,7,Under 18 years,241
2018,female,7,Under 18 years,329
2019,female,7,Under 18 years,405
2020,female,7,Under 18 years,337
2021,female,7,Under 18 years,422
2010,male,8,Under 18 years,476
2011,male,8,Under 18 years,430
2012,male,8,Under 18 years,431
2013,male,8,Under 18 years,363
2014,male,8,Under 18 years,357
2015,male,8,Under 18 years,364
2016,male,8,Under 18 years,395
2017,male,8,Under 18 years,510
2018,male,8,Under 18 years,554
2019,male,8,Under 18 years,821
2020,male,8,Under 18 years,776
2021,male,8,Under 18 years,772
2010,female,8,Under 18 years,82
2011,female,8,Under 18 years,93
2012,female,8,Under 18 years,72
2013,female,8,Under 18 years,61
2014,female,8,Under 18 years,64
2015,female,8,Under 18 years,57
2016,female,8,Under 18 years,49
2017,female,8,Under 18 years,69
2018,female,8,Under 18 years,87
2019,female,8,Under 18 years,125
2020,female,8,Under 18 years,93
2021,female,8,Under 18 years,123
2010,male,9,Under 18 years,1465
2011,male,9,Under 18 years,1211
2012,male,9,Under 18 years,930
2013,male,9,Under 18 years,807
2014,male,9,Under 18 years,696
2015,male,9,Under 18 years,526
2016,male,9,Under 18 years,586
2017,male,9,Under 18 years,781
2018,male,9,Under 18 years,937
2019,male,9,Under 18 years,1155
2020,male,9,Under 18 years,926
2021,male,9,Under 18 years,1067
2010,female,9,Under 18 years,320
2011,female,9,Under 18 years,277
2012,female,9,Under 18 years,250
2013,female,9,Under 18 years,209
2014,female,9,Under 18 years,200
2015,female,9,Under 18 years,140
2016,female,9,Under 18 years,163
2017,female,9,Under 18 years,173
2018,female,9,Under 18 years,238
2019,female,9,Under 18 years,276
2020,female,9,Under 18 years,238
2021,female,9,Under 18 years,302
2010,male,5,18-24 years,274
2011,male,5,18-24 years,280
2012,male,5,18-24 years,308
2013,male,5,18-24 years,316
2014,male,5,18-24 years,319
2015,male,5,18-24 years,334
2016,male,5,18-24 years,377
2017,male,5,18-24 years,426
2018,male,5,18-24 years,416
2019,male,5,18-24 years,405
2020,male,5,18-24 years,412
2021,male,5,18-24 years,443
2010,female,5,18-24 years,2937
2011,female,5,18-24 years,2944
2012,female,5,18-24 years,2966
2013,female,5,18-24 years,3020
2014,female,5,18-24 years,2950
2015,female,5,18-24 years,3015
2016,female,5,18-24 years,3288
2017,female,5,18-24 years,3728
2018,female,5,18-24 years,4066
2019,female,5,18-24 years,4110
2020,female,5,18-24 years,4203
2021,female,5,18-24 years,4885
2010,male,7,18-24 years,3353
2011,male,7,18-24 years,2630
2012,male,7,18-24 years,2297
2013,male,7,18-24 years,2070
2014,male,7,18-24 years,1616
2015,male,7,18-24 years,1477
2016,male,7,18-24 years,1628
2017,male,7,18-24 years,1493
2018,male,7,18-24 years,1782
2019,male,7,18-24 years,2108
2020,male,7,18-24 years,1539
2021,male,7,18-24 years,1206
2010,female,7,18-24 years,834
2011,female,7,18-24 years,816
2012,female,7,18-24 years,795
2013,female,7,18-24 years,639
2014,female,7,18-24 years,577
2015,female,7,18-24 years,453
2016,female,7,18-24 years,496
2017,female,7,18-24 years,458
2018,female,7,18-24 years,483
2019,female,7,18-24 years,529
2020,female,7,18-24 years,437
2021,female,7,18-24 years,343
2010,male,8,18-24 years,1105
2011,male,8,18-24 years,1010
2012,male,8,18-24 years,945
2013,male,8,18-24 years,921
2014,male,8,18-24 years,747
2015,male,8,18-24 years,717
2016,male,8,18-24 years,885
2017,male,8,18-24 years,736
2018,male,8,18-24 years,938
2019,male,8,18-24 years,1057
2020,male,8,18-24 years,774
2021,male,8,18-24 years,619
2010,female,8,18-24 years,217
2011,female,8,18-24 years,225
2012,female,8,18-24 years,239
2013,female,8,18-24 years,191
2014,female,8,18-24 years,205
2015,female,8,18-24 years,183
2016,female,8,18-24 years,175
2017,female,8,18-24 years,172
2018,female,8,18-24 years,198
2019,female,8,18-24 years,201
2020,female,8,18-24 years,197
2021,female,8,18-24 years,145
2010,male,9,18-24 years,2247
2011,male,9,18-24 years,1624
2012,male,9,18-24 years,1357
2013,male,9,18-24 years,1152
2014,male,9,18-24 years,872
2015,male,9,18-24 years,759
2016,male,9,18-24 years,734
2017,male,9,18-24 years,761
2018,male,9,18-24 years,844
2019,male,9,18-24 years,1050
2020,male,9,18-24 years,770
2021,male,9,18-24 years,587
2010,female,9,18-24 years,617
2011,female,9,18-24 years,591
2012,female,9,18-24 years,556
2013,female,9,18-24 years,446
2014,female,9,18-24 years,375
2015,female,9,18-24 years,276
