year,gender,crime_id,AgeGroup,Count
2015,male,6,25-34 years,65
2016,male,6,25-34 years,72
2017,male,6,25-34 years,71
2018,male,6,25-34 years,58
2019,male,6,25-34 years,76
2020,male,6,25-34 years,46
2021,male,6,25-34 years,55
2010,female,6,25-34 years,52
2011,female,6,25-34 years,45
2012,female,6,25-34 years,55
2013,female,6,25-34 years,56
2014,female,6,25-34 years,72
2015,female,6,25-34 years,63
2016,female,6,25-34 years,69
2017,female,6,25-34 years,57
2018,female,6,25-34 years,55
2019,female,6,25-34 years,76
2020,female,6,25-34 years,45
2021,female,6,25-34 years,63
2010,male,6,35-44 years,17
2011,male,6,35-44 years,29
2012,male,6,35-44 years,17
2013,male,6,35-44 years,28
2014,male,6,35-44 years,28
2015,male,6,35-44 years,30
2016,male,6,35-44 years,26
2017,male,6,35-44 years,23
2018,male,6,35-44 years,32
2019,male,6,35-44 years,29
2020,male,6,35-44 years,24
2021,male,6,35-44 years,30
2010,female,6,35-44 years,29
2011,female,6,35-44 years,37
2012,female,6,35-44 years,33
2013,female,6,35-44 years,36
2014,female,6,35-44 years,44
2015,female,6,35-44 years,39
2016,female,6,35-44 years,29
2017,female,6,35-44 years,27
2018,female,6,35-44 years,39
2019,female,6,35-44 years,45
2020,female,6,35-44 years,29
2021,female,6,35-44 years,31
2010,male,6,45-54 years,3
2011,male,6,45-54 years,9
2012,male,6,45-54 years,4
2013,male,6,45-54 years,18
2014,male,6,45-54 years,19
2015,male,6,45-54 years,13
2016,male,6,45-54 years,15
2017,male,6,45-54 years,14
2018,male,6,45-54 years,13
2019,male,6,45-54 years,17
2020,male,6,45-54 years,20
2021,male,6,45-54 years,19
2010,female,6,45-54 years,9
2011,female,6,45-54 years,10
2012,female,6,45-54 years,24
2013,female,6,45-54 years,10
2014,female,6,45-54 years,14
2015,female,6,45-54 years,13
2016,female,6,45-54 years,20
2017,female,6,45-54 years,16
2018,female,6,45-54 years,16
2019,female,6,45-54 years,18
2020,female,6,45-54 years,14
2021,female,6,45-54 years,25
2010,male,6,55 and over,9
2011,male,6,55 and over,8
2012,male,6,55 and over,5
2013,male,6,55 and over,5
2014,male,6,55 and over,9
2015,male,6,55 and over,0
2016,male,6,55 and over,12
2017,male,6,55 and over,5
2018,male,6,55 and over,7
2019,male,6,55 and over,13
2020,male,6,55 and over,6
2021,male,6,55 and over,11
2010,female,6,55 and over,3
2011,female,6,55 and over,7
2012,female,6,55 and over,5
2013,female,6,55 and over,11
2014,female,6,55 and over,3
2015,female,6,55 and over,9
2016,female,6,55 and over,13
2017,female,6,55 and over,19
2018,female,6,55 and over,12
2019,female,6,55 and over,17
2020,female,6,55 and over,4
2021,female,6,55 and over,11
